Team,Gms,Num,Yds,Avg,FC,Lg,TD,Yds/G,Year
Washington Redskins,16,29,178,6.14,22,29,0,11.1,2017
Arizona Cardinals,16,36,295,8.19,21,45,0,18.4,2018
Atlanta Falcons,16,21,147,7,24,18,0,9.2,2018
Baltimore Ravens,16,35,404,11.54,29,70t,1,25.2,2018
Buffalo Bills,16,31,207,6.68,17,31,0,12.9,2018
Carolina Panthers,16,24,165,6.88,16,30,0,10.3,2018
Chicago Bears,16,33,411,12.45,21,44,0,25.7,2018
Cincinnati Bengals,16,22,236,10.73,21,38,0,14.8,2018
Cleveland Browns,16,32,290,9.06,24,37,0,18.1,2018
Dallas Cowboys,16,21,119,5.67,25,22,0,7.4,2018
Denver Broncos,16,30,132,4.4,17,20,0,8.2,2018
Detroit Lions,16,27,171,6.33,20,25,0,10.7,2018
Green Bay Packers,16,30,198,6.6,19,24,0,12.4,2018
Houston Texans,16,38,327,8.61,16,30,0,20.4,2018
Indianapolis Colts,16,24,217,9.04,28,51,0,13.6,2018
Jacksonville Jaguars,16,34,334,9.82,16,74t,1,20.9,2018
Kansas City Chiefs,16,22,261,11.86,3,91t,1,16.3,2018
Los Angeles Chargers,16,34,358,10.53,15,73t,1,22.4,2018
Los Angeles Rams,16,30,307,10.23,15,60,0,19.2,2018
Miami Dolphins,16,28,293,10.46,16,71t,1,18.3,2018
Minnesota Vikings,16,29,315,10.86,21,70,0,19.7,2018
New England Patriots,16,26,199,7.65,15,25,0,12.4,2018
New Orleans Saints,16,24,157,6.54,18,17,0,9.8,2018
New York Giants,16,37,231,6.24,13,23,0,14.4,2018
New York Jets,16,25,324,12.96,28,78t,1,20.2,2018
Oakland Raiders,16,25,291,11.64,19,99t,1,18.2,2018
Philadelphia Eagles,16,33,216,6.55,11,42,0,13.5,2018
Pittsburgh Steelers,16,31,252,8.13,26,23,0,15.8,2018
San Francisco 49ers,16,31,180,5.81,18,23,0,11.2,2018
Seattle Seahawks,16,25,143,5.72,20,19,0,8.9,2018
Tampa Bay Buccaneers,16,26,163,6.27,15,16,0,10.2,2018
Tennessee Titans,16,27,237,8.78,11,38,0,14.8,2018
Washington Redskins,16,17,110,6.47,23,30,0,6.9,2018
